kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — malacostraca,,Geelvinkia darnei,Stable,Global,Least Concern
animalia — malacostraca,,Parathelphusa maindroni,Unknown,Global,Vulnerable
animalia — malacostraca,,Allopotamon tambelanense,Unknown,Global,Data Deficient
animalia — malacostraca,,Parathelphusa convexa,Stable,Global,Data Deficient
animalia — malacostraca,,Balssiathelphusa sucki,Unknown,Global,Data Deficient
animalia — malacostraca,,Malayopotamon granulatum,Unknown,Global,Vulnerable
animalia — malacostraca,,Coccusa adipis,Unknown,Global,Data Deficient
animalia — malacostraca,,Isolapotamon beeliae,Unknown,Global,Data Deficient
animalia — malacostraca,,Torhusa nieuwenhuisi,Unknown,Global,Data Deficient
animalia — actinopterygii,Bartail Flathead,Platycephalus indicus,Unknown,Global,Data Deficient
animalia — actinopterygii,Red Axil Emperor,Lethrinus conchyliatus,Unknown,Global,Least Concern
animalia — actinopterygii,Herring Scad,Alepes vari,Unknown,Global,Least Concern
animalia — actinopterygii,Bearded Silverside,Atherion elymus,Unknown,Global,Least Concern
animalia — actinopterygii,Twospot Coralfish,Coradion melanopus,Stable,Global,Least Concern
animalia — anthozoa,,Turbinaria frondens,Unknown,Global,Least Concern
animalia — anthozoa,,Leptoseris yabei,Unknown,Global,Vulnerable
animalia — anthozoa,,Echinophyllia pectinata,Unknown,Global,Data Deficient
animalia — anthozoa,,Acropora meridiana,Decreasing,Global,Data Deficient
animalia — anthozoa,,Echinopora hirsutissima,Decreasing,Global,Least Concern
animalia — actinopterygii,Bigeye Callibus,Cabillus macrophthalmus,Unknown,Global,Data Deficient
animalia — actinopterygii,Bearded Goby,Barbuligobius boehlkei,Unknown,Global,Least Concern
animalia — actinopterygii,Ochre-striped Cardinalfish,Apogon compressus,Stable,Global,Least Concern
animalia — actinopterygii,Flower Cardinalfish,Apogon fleurieu,Unknown,Global,Least Concern
animalia — actinopterygii,Humpback Turretfish,Tetrosomus gibbosus,Unknown,Global,Least Concern
animalia — actinopterygii,Arrow-headed Darter Dragonet,Callionymus sagitta,Unknown,Global,Least Concern
animalia — actinopterygii,Whitehead's Deepwater Dragonet,Callionymus whiteheadi,Unknown,Global,Data Deficient
animalia — actinopterygii,,Rasbora elegans,Unknown,Global,Least Concern
animalia — malacostraca,Pronghorn Spiny Lobster,Panulirus penicillatus,Unknown,Global,Least Concern
animalia — malacostraca,Blue-back Locust Lobster,Petrarctus brevicornis,Unknown,Global,Least Concern
animalia — malacostraca,Velvet Lobster,Metanephrops velutinus,Unknown,Global,Least Concern
animalia — malacostraca,Banded Whip Lobster,Puerulus angulatus,Unknown,Global,Least Concern
