Country,Artificial surfaces,Bare area,Cropland,Grassland,Inland water,Shrubland,Sparse vegetation,Tree cover,Wetland
Cuba,0.0077479636273069,0.0001574845758774,0.47240655163586,0.060419963494104,0.034535604348794,0.0002913811536057,9.50457572476e-05,0.40630743070505,0.018038574702148997
Cyprus,0.04152609438127399,0.075530009579741,0.42853096755383,0.0069390645174725995,0.0095714107209796,0.034487067349743994,0.14464575784081,0.25805323003874003,0.0007163980174100999
Czech Republic,0.044401021741434,4.02183167948e-05,0.4981352434090999,0.077028866942113,0.007527691782515,0.0,0.0005973891445858,0.37128372943471,0.00098583922875
Côte d'Ivoire,0.0052859622026258,0.0,0.5173556156726,4.58196272191e-05,0.0087849589437049,0.085618030405141,0.0,0.38283276981556,7.68433331488e-05
Democratic People's Republic of Korea,0.0088086642599278,0.0012422556082796001,0.34856305077799,0.0042715936499928995,0.017308971670896997,0.0061835322308578,0.0017940188860688,0.6112969589961099,0.0005309539198839999
Democratic Republic of the Congo,0.0009631518600747,0.000158217964694,0.11830204435739,0.016248424618781,0.018475968751293002,0.019050201076904,1.18333852761e-05,0.80583778142814,0.020952376557436998
Denmark,0.04045902498469999,0.0007196943183633,0.72813143305317,0.069537547044856,0.021475965619789997,0.0,0.0002656228406927,0.12502221001793,0.014388502120496003
Djibouti,0.0009286828300014001,0.87016517793847,0.0025379271232099996,0.034822061534099,0.010435275769176,0.010424641996313998,0.026811285977597996,0.0006025804622147,0.043272366368921
Dominica,0.0056248721619962996,0.0,0.0030681120883615997,0.0015340560441807999,0.012579259562283,0.0,0.0032726528942523996,0.97392104724893,0.0
Dominican Republic,0.016275482886209,7.99149704714e-05,0.32965085149400997,0.11756451135991001,0.011963271079571,0.0005194473080642,0.0004427289364117,0.4819959563024901,0.041507835662855
Ecuador,0.0059733419616937004,0.014308697566981998,0.14007483904213,0.049863534092509,0.011992222491858,0.09486612559657001,0.0013544728161710002,0.6772139383971001,0.0043528280349808
Egypt,0.0033368946619478997,0.9151291021448401,0.049564935279114,0.0,0.0080644232516186,0.0007743676474147999,0.011962272219059,2.21717972702e-05,0.011145832998732
El Salvador,0.015589276119541003,0.0006410612713763999,0.23680729253516003,0.0020010005002500998,0.022300038908343,0.0084227298834602,0.0,0.71337520612158,0.0008633946602931
Equatorial Guinea,0.0022856233156321,0.0,0.09836424420918599,7.95988219374e-05,0.0061347949193209,0.0002331108356739,0.0,0.8926439317269501,0.0002586961712967
Eritrea,0.0013821383436484998,0.39474749248796004,0.20223509333252,0.18961830836957,0.0021400235956214003,0.10606130025364999,0.07332396635524,0.028506921509560003,0.0019847557522282
Estonia,0.0067564101248679,0.0003249096238231,0.25624424995468,0.052577217337177,0.04853465759655799,5.4721620854399995e-05,0.0004634237266108,0.59029751461238,0.044746895403042004
Eswatini,0.0025331220172377,0.015029560510008002,0.3636209844006,0.13213191822779,0.004073473894152,0.10139611083410999,0.0001558159413064,0.37854369969371,0.0025153144810884
Ethiopia,0.0008659778419832002,0.062898007258166,0.23909298018029,0.075065624936463,0.006755987164079999,0.40130535194705996,0.0027405291706013002,0.20981524514040997,0.0014602963609415
Faeroe Islands,0.0,0.004097906744933,0.019437368479344,0.7109314431277,0.030955809059696002,0.072377893454425,0.049839406357293,0.088935651788681,0.023424520987928
Falkland Islands (Malvinas),1.92242379192e-05,0.0073564750437351,0.00010252926890219999,0.8605537862136601,0.036314585429308995,0.0192562783157,0.009266082677039201,0.06705414186206,7.689695167669999e-05
Fiji,0.0018284916835154,0.0,0.30991462835380995,0.0,0.030907814595147003,0.0,0.0035014564882031004,0.6538476088793199,0.0
Finland,0.0017909471622295,0.0010511581251350002,0.09149536959211801,0.0057515895575914,0.09759719188315501,0.0011541812798189,0.013649648146032,0.71498391298039,0.072526001273532
France,0.028837579683375,0.0039845016758053,0.43756895764012,0.14228970961343002,0.0074144368395834,0.005136610275447999,0.0040175504987225,0.36760048355391,0.0031501702195967
French Polynesia,0.0014141215751743,0.0,0.43543160168908995,0.0,0.16348816655210002,0.0,0.11648826475498,0.28317784542866,0.0
French Southern and Antarctic Lands,0.0,0.77134875897354,0.0033941748350471007,0.0040649999499384,0.11916657488711,0.018212401253542,0.07884698178759901,0.0047358250648297,0.00023028324839550001
Gabon,0.0008036523732459,0.0,0.04927168276782099,0.017207290557550003,0.011699771290537,0.019126577574842,0.0,0.9011969884552,0.0006940369808025
Gambia,0.011663685642428001,0.0014665268669092999,0.59772619806336,0.0002809701006695,0.08178971101197201,0.08074121283142499,0.0,0.22224049670032003,0.004091198782919799
Georgia,0.015022855814673998,0.021859677472911,0.34748586038584,0.081488450342561,0.0053392953989529,0.039565462816412,0.0068390352964615,0.48101251812416,0.0013868443480282
Germany,0.06842481771789,0.00036850241311740003,0.45641652933478,0.13660641951544,0.012406392164466,0.0,0.0006281635380386002,0.32190903724579,0.0032401380704754996
Ghana,0.010763052105543,0.00028195222822630003,0.46892867155169,0.0001864678362272,0.029601769001072996,0.12568607303881,1.8325287353399998e-05,0.36434657812231,0.0001871108287659
Gibraltar,0.6301369863013699,0.0,0.054794520547945,0.0,0.027397260273973,0.095890410958904,0.0,0.19178082191781,0.0
Greece,0.01637246104138,0.019576545399591,0.41198843015096004,0.05508623497243401,0.01674324447808,0.18655151488171,0.0052513009636855,0.28652539017196,0.0019048779402014002
Greenland,0.0,0.81696649855007,0.0,0.015541756213428,0.025530090923796003,0.0039300501815973995,0.13666122061574,0.0008819580574282999,0.0004884254579451
Grenada,0.028046421663443,0.0,0.025870406189555002,0.045938104448742995,0.029255319148936004,0.0,0.0,0.87088974854932,0.0
Guam,0.0,0.0,0.079937747594793,0.8862478777589099,0.031267685342387996,0.0,0.0002829654782117,0.0022637238256933002,0.0
Guatemala,0.0078805644460452,0.000208625979432,0.27601076115356,0.053053022715563,0.012111583887026,0.0036636413550257,0.0,0.64530905190065,0.0017627485627009002
Guernsey,0.31625615763547,0.0,0.50541871921182,0.062068965517241,0.031527093596059,0.0,0.0,0.084729064039409,0.0
