Country,temp_slope,gain_percentage,temp_difference
Poland,0.048944682905972065,17.098723492690194,1.3548076666666615
Portugal,0.0214863094016998,3.314854513887222,0.5021183333333319
Puerto Rico,0.010284438746436232,1.608259071243534,0.40992499999999765
Qatar,0.0592906296296177,5.4970585518939075,1.4780866666666697
Republic of Montenegro,0.057657956125342844,22.65771294315668,1.9060834999999976
Republic of Serbia,0.0629093575498432,21.520112049010052,2.094604333333333
Romania,0.06917997920226523,22.832954553537977,1.9526626666666687
Russia,0.05295304045581496,-14.674254415756982,0.7930230000000025
Rwanda,0.019465296296295325,2.097680877892505,0.41034833333333154
Samoa,0.01090441880341908,1.3488108029024337,0.36646166666666957
Sao Tome and Principe,0.022451945868947425,2.1308678605488796,0.5027249999999945
Saudi Arabia,0.05411971225070044,4.801361315173502,1.1862483333333387
Senegal,0.02017693732193334,1.45066717163862,0.41112500000000196
Seychelles,0.025753846153846908,1.6253090076396859,0.44242333333334116
Sierra Leone,0.02549698290598238,1.5716567161137895,0.41136333333333397
Singapore,0.017960763532763074,1.8015396280467222,0.49638166666666805
Slovak Republic,0.05574153304842032,25.31352423436943,1.8552026666666661
Slovenia,0.04270935897434639,20.175012553832893,1.719575500000003
Solomon Islands,-0.0022685327635322927,-0.36225688626440045,-0.09314499999999626
Somalia,0.03247143019942941,2.121880842483659,0.5747533333333372
South Africa,0.030797861823370066,4.101704248256777,0.7312316666666661
South Sudan,0.04763816524216437,2.398892058404023,0.6525849999999984
Spain,0.027007001709390438,6.251692864311109,0.8341875000000005
Sri Lanka,0.018802923076921448,1.3445596125630566,0.36457666666666455
St. Kitts and Nevis,0.01069395441595297,1.1052202851501658,0.27791666666667325
St. Lucia,0.020405578347577228,1.6890020538592454,0.4416733333333376
St. Vincent and the Grenadines,0.023125025641024352,1.6910724952667655,0.45932333333333375
Sudan,0.05176672079771184,3.2704826353874727,0.8913433333333352
Suriname,0.022307216524216005,1.8218585219909933,0.46908666666667287
Swaziland,0.029774407407413345,3.232186902750578,0.6537833333333403
Sweden,0.034578068945857875,22.124182972441453,0.5301534999999999
Switzerland,0.03378594330483296,20.63434802738069,1.2275038333333335
Syria,0.049309800854685316,5.754307163242323,1.0287226666666704
Tajikistan,0.04919829031337148,30.011389371385878,0.9668381666666677
Tanzania,0.013674507122508056,1.727565647708218,0.39090333333333405
Thailand,0.008324868945866995,-0.042852532119308506,-0.011573333333323887
Timor Leste,0.007380390313390397,1.2075538261450802,0.30577999999999506
Togo,0.03649811680911818,3.0054759500601103,0.8078616666666605
Tonga,0.02740825641025909,2.5161621805485757,0.6158199999999958
Trinidad and Tobago,0.02235390883190769,1.4843493414499864,0.3913166666666683
Tunisia,0.04263597692306373,8.48629886022685,1.6270504999999993
Turkey,0.05773362877491341,11.567079246718226,1.2631603333333317
Turkmenistan,0.03859136296294385,5.178839622043729,0.798926166666666
Tuvalu,0.010316008547008986,-0.22192029249945566,-0.06334666666666777
Uganda,0.03667801424501476,3.0621922984027883,0.6994266666666711
Ukraine,0.06635723646722284,15.480006178670225,1.3136618333333345
United Arab Emirates,0.05062571225070258,4.755049719959081,1.2681816666666705
United Kingdom,0.019054913675205055,7.54604057242565,0.6425623333333323
United States,0.035889751282033436,7.847515772114977,0.5937298333333354
Uruguay,0.012192690028497669,0.6078770149927859,0.10947733333333431
Uzbekistan,0.047101356980035446,6.1199228761699365,0.7759558333333327
Vanuatu,0.011701595441597577,0.6183482213957925,0.1475350000000013
Venezuela,0.030989247863248116,2.553973484046823,0.6506466666666668
Vietnam,0.009419413105408527,0.27266407390382774,0.0675266666666623
Yemen,0.03208553846153314,2.865954697624562,0.6740966666666708
Zambia,0.0046897578347588915,2.2578208464020255,0.4941816666666661
Zimbabwe,0.005799148148151806,1.7981064640163025,0.388181666666668
